id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
51801490614,Odessa College - Multiple New Deal,50.0,0.0,2025-12-14,2025,2026-03-06,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,,No contact,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51801490614
51782085813,State Technical College of Missouri - Linn - DA New Deal,50.0,0.0,2025-12-14,2025,2026-04-29,Q2,Bookings,Closed Lost,Mark Moore,Clinical Record Keeping,,,,Marketing data,Other,dupe,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51782085813
51846884162,"Hudson County Community College - Jersey City - Nursing-PN, ADN New Deal",50.0,0.0,2025-12-14,2025,2026-03-06,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,Matrix,Other,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846884162
51842984053,Kellogg Community College - Radiography,3000.0,3000.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,,Other,Waiting for nursing department,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51842984053
51843291504,Danville Area Community College - Danville - Medical Assisting,2500.0,2500.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,Matrix/CAAHEP Website,No contact,Silent,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843291504
51801027937,Everett Community College - Everett - Nursing New Deal,50.0,0.0,2025-12-14,2025,2026-03-13,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51801027937
51843155040,New York City College of Technology - CLS New Deal,50.0,0.0,2025-12-14,2025,2026-03-23,Q1,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,,,Budget issue,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843155040
51834153122,ECPI University - Florida - DMS New Deal,50.0,0.0,2025-12-14,2025,2026-04-17,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,,Other,for profit,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51834153122
51843273859,Inter American University of Puerto Rico - San German - CM- Rad Tech,6900.0,6900.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,Demo,No contact,Silent,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843273859
51846838626,Hinds Community College - Vet Tech New Deal,50.0,0.0,2025-12-14,2025,2026-04-17,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,2025 AVTE jacket drawing,No contact,silent since demo,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846838626
